price,area,bedrooms,bathrooms,location,city,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,property_url
12 Crore,14 Marla,6 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,1,2,https://www.zameen.com/Property/islamabad_g-13_40x80_brand_new_luxury_house_for_sale_in_g-13_islamabad-53987563-330-1.html
5.65 Crore,7 Marla,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,2,1,https://www.zameen.com/Property/islamabad_g-13_7_marla_double_storey_house_for_sale_in_g-13_islamabad-52016529-330-1.html
2.75 Crore,5 Marla,3 Beds,4 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,1,1,1,https://www.zameen.com/Property/bahria_town_bahria_enclave_house_in_bahria_enclave_for_sale-48266498-1705-1.html
13.85 Crore,1 Kanal,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,3,,,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_phase_2_one_kanal_house-54221194-339-1.html
49.5 Crore,1.3 Kanal,-,-,"F-7, Islamabad, Islamabad Capital",Islamabad,House,,Furnished,,,,,https://www.zameen.com/Property/islamabad_f-7_f-7_islamabad_666_sq_yards_house_4_kanal_extra_corner_land_dead-end_street_rare_opportunity-53980473-165-1.html
5 Crore,1 Kanal,7 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,4,2,2,2,1,https://www.zameen.com/Property/islamabad_top_city_1_a_beautiful_park_face_grey_structure_available_for_sale-54151640-1383-1.html
4.44 Crore,4 Marla,5 Beds,5 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,,,,,https://www.zameen.com/Property/g_13_g-13_4_designer_house_brand_new_for_sale_25_40-53788429-3340-1.html
10.5 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_practical_house_for_sale_in_dha_phase_2_islamabad-54221363-339-1.html
3.85 Crore,9.3 Marla,4 Beds,5 Baths,"D-17, Islamabad, Islamabad Capital",Islamabad,House,,,,,,,https://www.zameen.com/Property/d_17_margalla_view_housing_society_a_spacious_2100_square_feet_house_in_margalla_view_housing_society-54248090-3160-1.html
2.95 Crore,5 Marla,4 Beds,4 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_house_is_available_for_sale-54248134-16418-1.html
2.5 Crore,5 Marla,4 Beds,4 Baths,"Faisal Hills, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/faisal_hills_canary_residency_luxury_furnished_corner_villa_for_sale_in_faisal_hills_canary_villas-54242135-18223-1.html
2.1 Crore,5 Marla,4 Beds,4 Baths,"Faisal Hills, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/faisal_hills_canary_residency_canary_villas_non_corner_5_marla_luxury_villa_in_faisal_hills-54242134-18223-1.html
9.25 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,3,1,2,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxury_house_brand_new_for_sale_at_reasonable_demand-52503565-339-1.html
16 Crore,1 Kanal,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,3,1,1,1,1,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_f_elegant_designer_house_avaliable-54250406-3201-1.html
2.3 Crore,5 Marla,6 Beds,7 Baths,"H-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,3,1,https://www.zameen.com/Property/islamabad_h-13_5_marla_triple_storey_house_for_sale-52696774-1039-1.html
1.35 Crore,5 Marla,3 Beds,4 Baths,"H-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,,1,1,https://www.zameen.com/Property/islamabad_h-13_brand_new_house_is_available_for_sale-52725018-1039-1.html
79 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_lilly_sector_stylish_5_marla_home_for_small_families_functional_layout_modern_finish-53443930-3214-1.html
83 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_lilly_sector_elegant_5_marla_house_with_front_garden_2_bedrooms_tv_lounge-53443970-3214-1.html
78 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_oleander_sector_stylish_5_marla_single-unit_house_with_tv_lounge_and_garden-53444146-3213-1.html
5.7 Crore,7 Marla,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,,1,2,https://www.zameen.com/Property/islamabad_g-13_30x60_double_storey_double_unit_house_for_sale_in_g-13_islamabad-53934508-330-1.html
9 Crore,10 Marla,7 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,2,1,https://www.zameen.com/Property/islamabad_g-13_10_marla_classical_design_brand_new_house_for_sale_in_g-13_islamabad-52206044-330-1.html
15.5 Crore,1 Kanal,6 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,4,1,2,1,1,https://www.zameen.com/Property/islamabad_g-13_1_kanal_50x90_luxurious_house_for_sale_in_g-13_islamabad-52206027-330-1.html
8.5 Crore,10 Marla,6 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,2,3,https://www.zameen.com/Property/islamabad_g-13_10_marla_double_storey_double_unit_house_for_sale_in_g-13-52683224-330-1.html
15.5 Crore,1 Kanal,7 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,2,1,1,https://www.zameen.com/Property/islamabad_g-13_1_kanal_luxury_house_brand_new_double_storey_for_sale_in_g-13_islamabad-52662528-330-1.html
8.5 Crore,10 Marla,6 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,1,1,https://www.zameen.com/Property/islamabad_g-13_g-13_islamabad_35x70_brand_new_double_storey_house_for_sale-52833119-330-1.html
5.2 Crore,10 Marla,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_house_of_10_marla_available_for_sale_in_top_city_1_-_block_a-54218675-9231-1.html
7.8 Crore,10 Marla,6 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,2,1,https://www.zameen.com/Property/islamabad_g-13_10_marla_double_storey_low_price_house_for_sale_g-13_islamabad_prime_location-52853326-330-1.html
15.8 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 3,4,,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxurious_1_kanal_pool_house_for_sale-53935354-339-1.html
7.8 Crore,10 Marla,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_designer_10_marla_house_for_sale_dha_phase_5_islamabad-53792126-10991-1.html
5.7 Crore,10 Marla,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,2,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_elegant_house_available_for_sale_in_sector_c1-54180207-11987-1.html
8 Crore,1 Kanal,7 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,2,1,https://www.zameen.com/Property/islamabad_top_city_1_corner_1_kanal_house_for_sale-54183915-1383-1.html
3.85 Crore,10 Marla,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,1,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_house_for_sale_in_top_city-54145933-1383-1.html
13.5 Crore,14.2 Marla,9 Beds,7 Baths,"G-11, Islamabad, Islamabad Capital",Islamabad,House,Floors: 3,5,1,1,3,1,https://www.zameen.com/Property/islamabad_g-11_luxury_triple_story_house_40x80_for_sale_in_g-11_2_islamabad-54249820-168-1.html
3.1 Crore,8 Marla,4 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,,Electricity Backup,,,2,1,https://www.zameen.com/Property/islamabad_b-17_double_storey_8_marla_house_available_in_b-17_for_sale-54183264-616-1.html
3.2 Crore,6 Marla,5 Beds,6 Baths,"I-14, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,,,,,https://www.zameen.com/Property/i_14_i-14_1_corner_house_25x60_in_i-14_1_near_from_park_and_main_road-54249739-8340-1.html
2.62 Crore,5 Marla,3 Beds,4 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,4,1,1,2,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_5_marla_house_for_sale-54249660-11982-1.html
3.6 Crore,10 Marla,5 Beds,7 Baths,"D-17, Islamabad, Islamabad Capital",Islamabad,House,Floors,,30,1,2,1,https://www.zameen.com/Property/islamabad_d-17_10_marla_brand_new_double_storey_house_available_for_sale-54186482-737-1.html
16 Crore,2.3 Kanal,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,1,2,1,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_c_top_heighted_luxurious_5_bed_house_available-54239386-8402-1.html
7.5 Crore,10 Marla,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,1,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_j_luxurious_5_bed_single_unit_house-54200621-8399-1.html
78 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_oleander_sector_perfect_5_marla_family_house_functional_spaces_with_garden-53444155-3213-1.html
75 Lakh,3 Marla,3 Beds,3 Baths,"H-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,2,1,7500000,https://www.zameen.com/Property/islamabad_h-13_new_house_for_sale-52738838-1039-1.html
6.75 Crore,8 Marla,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,2,https://www.zameen.com/Property/g_13_g-13_2_8_marla_brand_new_house_for_sale_g-13_2_islamabad-54159477-3338-1.html
6.15 Crore,8 Marla,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,2,1,https://www.zameen.com/Property/g_13_g-13_2_8_marla_short_corner_house_like_brand_new_available_for_sale_g-13_2-54181679-3338-1.html
6 Crore,8 Marla,5 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,1,1,https://www.zameen.com/Property/g_14_g-14_3_ultra_luxury_brand_new_house_for_sale_g-14_3-54213221-3345-1.html
6.65 Crore,7 Marla,6 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,1,https://www.zameen.com/Property/islamabad_g-13_30x60_brand_new_house_for_sale_in_g-13_islamabad-52894867-330-1.html
8.5 Crore,10 Marla,6 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,3,1,https://www.zameen.com/Property/islamabad_g-13_35x70_classical_design_brand_new_house_for_sale_in_g-13_islamabad-52899461-330-1.html
13.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_most_beautiful_design_of_1_kanal_house_up_for_sale-54254670-339-1.html
3.6 Crore,10 Marla,6 Beds,6 Baths,"D-17, Islamabad, Islamabad Capital",Islamabad,House,,Other Main Features,1,,,1,https://www.zameen.com/Property/islamabad_d-17_luxury_10_marla_house_for_sale-54224297-737-1.html
2.9 Crore,7 Marla,5 Beds,5 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,3,1,https://www.zameen.com/Property/fechs_jinnah_gardens_7_marla_modern_house_for_sale_jinnah_garden-54218309-1420-1.html
9.55 Crore,1 Kanal,7 Beds,6 Baths,"Gulberg, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,,1,1,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_j_grey_structure_solid_a_construction_with_basement_prime_location_solid_construction_cda_approved_layout-53511816-9120-1.html
14.8 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_elegant_design_bungalow_up_for_sale-54254635-339-1.html
26 Crore,2.6 Kanal,7 Beds,7 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Floors: 3,,1,3,1,1,https://www.zameen.com/Property/islamabad_bahria_town_7_bed_luxury_mansion_with_lift_solar_for_sale_in_islamabad-54254618-383-1.html
6.2 Crore,10 Marla,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,2,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_bahria_enclave_islamabad_sector_a_10_marla_lop_clear_semi_corner_sun_face_modern_houseavailable-54175507-11970-1.html
24 Crore,1.2 Kanal,9 Beds,-,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,6,1,3,1,https://www.zameen.com/Property/d_12_d-12_3_stunning_and_affordable_house_available_for_sale_in_d-12_3-54065548-3156-1.html
15.3 Crore,14 Marla,5 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,,12,2,,2,1,https://www.zameen.com/Property/islamabad_d-12_14_marla_spacious_house_is_available_in_d-12_for_sale-54065484-160-1.html
5.4 Crore,5 Marla,4 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,5,1,https://www.zameen.com/Property/islamabad_d-12_ideal_house_for_sale_in_d-12-54047031-160-1.html
7.5 Crore,5 Marla,5 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,,200,1,,1,1,https://www.zameen.com/Property/islamabad_d-12_5_marla_house_for_sale_in_d-12-54178352-160-1.html
11 Crore,1 Kanal,10 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,3,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_one_kanal_brand_new_house_with_full_basement-54128610-9230-1.html
4.2 Crore,8 Marla,5 Beds,5 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,,,1,1,2,1,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_a_1800_square_feet_house_is_available_for_sale-54174504-16416-1.html
4 Crore,8 Marla,5 Beds,5 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,,,,1,2,1,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_a_buy_your_ideal_1800_square_feet_house_in_a_prime_location_of_islamabad-54174506-16416-1.html
6.75 Crore,12 Marla,6 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,,,,,2,1,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_prime_location_jinnah_gardens_phase_1_house_sized_12_marla_is_available-54140569-1421-1.html
6.7 Crore,12 Marla,6 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,,Flooring,1,,2,1,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_in_islamabad_you_can_find_the_perfect_prime_location_house_for_sale-54140571-1421-1.html
1.95 Crore,5 Marla,3 Beds,4 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,3,1,1,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_beautiful_5_marla_single_unit_house_for_sale_available_in_f_block_mpchs_b-17_islamabad-53711145-8527-1.html
2.5 Crore,5 Marla,4 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,1,1,1,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_5_marla_25x50_designer_double_heighted_hybrid_unit_house_for_sale_in_mpchs_multi_garden_b-17_islamabad-53983463-3115-1.html
1.9 Crore,6 Marla,4 Beds,2 Baths,"Kuri Road, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/islamabad_kuri_road_6_marla_double_storey_house_near_kuri_road-53403837-10322-1.html
3.3 Crore,4 Marla,4 Beds,4 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,,,,,2,1,https://www.zameen.com/Property/islamabad_g-13_g-13_25x40_house_available_for_sale-54113653-330-1.html
4 Crore,4 Marla,4 Beds,4 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,2,2,2,1,https://www.zameen.com/Property/islamabad_g-13_g-13_25x40_brand_new_house_available_for_sale-54219593-330-1.html
7 Crore,1 Kanal,7 Beds,6 Baths,"G-16, Islamabad, Islamabad Capital",Islamabad,House,Waste Disposal,24,1,1,3,2,https://www.zameen.com/Property/islamabad_g-16_50_x90_1_kanal_aaa_quality_owner_built_house_located_in_g-16_4_islamabad-54143205-580-1.html
4 Crore,7 Marla,4 Beds,5 Baths,"Gulberg, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,,1,1,1,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_l_gulberg_residencia_islamabad_blok_l_very_good_location_surface_house-53623122-9122-1.html
15.5 Crore,1 Kanal,5 Beds,5 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c_prime_location_1kanal_with_extra_land_5bedrooms_fully_furnished_house_available_for_sale_in_bahria_enclave_islamabad_sector_c-53527545-11973-1.html
6 Crore,10 Marla,5 Beds,5 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,,,1,,1,1,https://www.zameen.com/Property/bahria_town_bahria_enclave_prime_location_10_marla_5bedrooms_brand_new_house_for_sale_in_bahria_enclave_islamabad-53141738-1705-1.html
26 Crore,2.6 Kanal,7 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 3,,1,3,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_25_kva_solar_private_lift_sauna_50_marla_ultimate_luxury_villa-54254594-339-1.html
26 Crore,2.6 Kanal,7 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 3,,1,3,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_50_marla_architectural_masterpiece_villa_for_sale_in_islamabad-54254585-376-1.html
8.5 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_owner_built_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54247479-339-1.html
9 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_western_design_1_kanal_brand_new_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54251332-339-1.html
11 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_elegant_design_1_kanal_brand_new_designer_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54246221-339-1.html
45 Crore,19 Marla,6 Beds,7 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,5,1,https://www.zameen.com/Property/islamabad_f-8_modern_masterpiece_new_6-bed_luxury_villa_with_pool_margalla_views-54048720-166-1.html
4.5 Crore,5 Marla,3 Beds,3 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/islamabad_d-12_a_palatial_residence_for_sale_in_d-12_d-12-54178428-160-1.html
4.45 Crore,6 Marla,4 Beds,5 Baths,"I-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,1,1,https://www.zameen.com/Property/islamabad_i-11_brand_new_6_marla_house_available_for_sale_in_i-11-53859565-706-1.html
3.25 Crore,4 Marla,5 Beds,5 Baths,"I-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,,,2,,https://www.zameen.com/Property/islamabad_i-11_brand_new_double_storey_house_for_sale-53933357-706-1.html
12 Crore,10 Marla,5 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,3,,1,1,https://www.zameen.com/Property/islamabad_d-12_beautiful_location_modern_luxury_house_for_sale_solid_construction-54156863-160-1.html
7.8 Crore,1 Kanal,6 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,2,1,https://www.zameen.com/Property/islamabad_top_city_1_prime_location_20_marla_house_in_beautiful_location_of_top_city_1-54192013-1383-1.html
5.5 Crore,10 Marla,6 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,,,,,2,1,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_spacious_prime_location_house_is_available_for_sale_in_ideal_location_of_jinnah_gardens_phase_1-54140570-1421-1.html
2.85 Crore,5 Marla,4 Beds,5 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,,,1,2,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_house_for_sale-54158179-1421-1.html
3.85 Crore,3.6 Marla,4 Beds,3 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,,,,,2,,https://www.zameen.com/Property/f_10_f-10_3_new_house_2040_sector_f-10_3_sale_best_rent_location_vip-54249521-3278-1.html
6.25 Crore,10 Marla,6 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Parking Spaces: 2,2,1,1,,1,https://www.zameen.com/Property/islamabad_top_city_1_double_road_corner_brand_new_designer_luxurious_house_available-54106109-1383-1.html
4.75 Crore,10 Marla,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,,1,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_house_of_10_marla_for_sale_in_top_city_1_-_block_d-53539037-9233-1.html
2.79 Crore,5 Marla,4 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,1,1,1,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_5_marla_25x50_brand_new_double_unit_house_for_sale_in_block_c1_mpchs_multi_garden_b-17_islamabad-54111272-3115-1.html
17.5 Crore,1 Kanal,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_top_of_the_line_brand_new_triple_storey_house_1_kanal_dha_phase_2_islamabad-54240717-339-1.html
3.55 Crore,7 Marla,4 Beds,5 Baths,"Soan Garden, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,,,1,,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_f_7_marla_brand_new_house_available_for_sale_sowan_gardan-53728915-3496-1.html
14.9 Crore,14 Marla,7 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,2,1,1,https://www.zameen.com/Property/islamabad_d-12_d_12_brand_new_house_available_40_80_facing_big_houses_and_sun_facing-54005368-160-1.html
1.35 Arab,5 Kanal,10 Beds,6 Baths,"F-6, Islamabad, Islamabad Capital",Islamabad,House,Furnished,20,6,4,3,1,https://www.zameen.com/Property/islamabad_f-6_f_6_2_100_225_corner_house_available_2_houses_build_in_this_plot-52281535-164-1.html
65 Crore,3.6 Kanal,7 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,15,2,2,2,1,https://www.zameen.com/Property/f_8_f-8_3_f_8_3_house_available_1777_near_ismail_zebi_service_road_and_near_margla_road-52378030-3316-1.html
13 Crore,1 Kanal,5 Beds,6 Baths,"G-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,5,2,2,2,1,https://www.zameen.com/Property/g_10_g-10_2_g_10_2_50_90_old_house_available_on_beautiful_location-52410545-3325-1.html
26 Crore,1.3 Kanal,5 Beds,7 Baths,"F-6, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,4,2,1,1,1,https://www.zameen.com/Property/islamabad_f-6_designer_triple_storey_house_f-6_islamabad_steps_from_blue_area-54065903-164-1.html
3.8 Crore,5 Marla,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f_luxury_5_marla_brand_new_house_for_sale_-_sector_f_dha_phase_5-54074609-8836-1.html
85 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,,,1,,https://www.zameen.com/Property/dha_valley_dha_valley_-_oleander_sector_5_marla_dha_home_for_sale_in_oleander_d-54098017-3213-1.html
1.6 Arab,4 Kanal,7 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Furnished,8,3,,4,1,https://www.zameen.com/Property/islamabad_f-7_main_margalla_road_4_kanal_house_with_extra_land-54018906-165-1.html
4.15 Crore,7 Marla,5 Beds,6 Baths,"Gulberg, Islamabad, Islamabad Capital",Islamabad,House,Waste Disposal,,,,1,1,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_a_gulberg_residencia_block_f_7marla_brand_new_house_available_for_sale-53000005-9112-1.html
11.75 Crore,1 Kanal,5 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,6,1,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_single_unit_ultra_luxury_house_on_prime_location_at_dha_2-54238692-339-1.html
11.75 Crore,1 Kanal,5 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_house_with_premium_drawing_room_with_imported_furniture-54238693-339-1.html
